"sitecode","Name","Source","epsg_crs_orig","COMID","VPU","StreamOrde","PctImp2011Cat","PctImp2011Ws","PctImp2011CatRp100","PctImp2011WsRp100","PermCat","PermWs","DamDensCat","DamDensWs","RdDensCat","RdDensWs","RdDensCatRp100","RdDensWsRp100","RunoffCat","RunoffWs","BFICat","BFIWs","PctDecid2011Cat","PctDecid2011Ws","PctDecid2011CatRp100","PctDecid2011WsRp100","PctConif2011Cat","PctConif2011Ws","PctConif2011CatRp100","PctConif2011WsRp100","WetIndexCat","WetIndexWs","prG_BMMI","CCONN","CHABT","ICI","IWI"
"CO_Alpine3","alpine3","StreamPULSE",4326,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO_Forestsite","Forestsite","StreamPULSE",4326,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
