"","sitecode","width_m","width_src","usgs_gagename"
"92","nwis_03298000",17.81556,"NWIS field measurements","nwis_03298000"
"93","nwis_03298150",10.60704,"NWIS field measurements","nwis_03298150"
"94","nwis_03298250",8.8392,"NWIS field measurements","nwis_03298250"
"95","nwis_03298300",8.56488,"NWIS field measurements","nwis_03298300"
"96","nwis_03301900",4.572,"NWIS field measurements","nwis_03301900"
"97","nwis_03302000",12.99972,"NWIS field measurements","nwis_03302000"
"98","nwis_03302030",11.07948,"NWIS field measurements","nwis_03302030"
"99","nwis_03302050",3.79476,"NWIS field measurements","nwis_03302050"
"100","nwis_03321500",139.5984,"NWIS field measurements","nwis_03321500"
"101","nwis_03346500",48.6156,"NWIS field measurements","nwis_03346500"
"102","nwis_03353200",18.8976,"NWIS field measurements","nwis_03353200"
"103","nwis_03353420",3.9624,"NWIS field measurements","nwis_03353420"
"104","nwis_03374100",133.8072,"NWIS field measurements","nwis_03374100"
"105","nwis_03408500",28.0416,"NWIS field measurements","nwis_03408500"
"106","nwis_03409500",30.9372,"NWIS field measurements","nwis_03409500"
"107","nwis_03538830",25.2984,"NWIS field measurements","nwis_03538830"
"108","nwis_03539778",9.9822,"NWIS field measurements","nwis_03539778"
"109","nwis_04027000",41.4528,"NWIS field measurements","nwis_04027000"
"110","nwis_04040000",27.1272,"NWIS field measurements","nwis_04040000"
"111","nwis_04059500",28.3464,"NWIS field measurements","nwis_04059500"
"112","nwis_04067500",117.348,"NWIS field measurements","nwis_04067500"
"113","nwis_04087050",3.85572,"NWIS field measurements","nwis_04087050"
"114","nwis_04101500",76.5048,"NWIS field measurements","nwis_04101500"
"115","nwis_04108660",63.0936,"NWIS field measurements","nwis_04108660"
"116","nwis_04119400",156.6672,"NWIS field measurements","nwis_04119400"
"117","nwis_04121944",25.6032,"NWIS field measurements","nwis_04121944"
"118","nwis_04121970",56.388,"NWIS field measurements","nwis_04121970"
"119","nwis_04124000",37.7952,"NWIS field measurements","nwis_04124000"
"120","nwis_04124200",39.1668,"NWIS field measurements","nwis_04124200"
"121","nwis_04125460",17.9832,"NWIS field measurements","nwis_04125460"
"122","nwis_04125550",70.7136,"NWIS field measurements","nwis_04125550"
"123","nwis_04136000",27.85872,"NWIS field measurements","nwis_04136000"
"124","nwis_04136500",35.052,"NWIS field measurements","nwis_04136500"
"125","nwis_04136900",40.386,"NWIS field measurements","nwis_04136900"
"126","nwis_04137005",43.2816,"NWIS field measurements","nwis_04137005"
"127","nwis_04137500",52.4256,"NWIS field measurements","nwis_04137500"
"128","nwis_04142000",21.1836,"NWIS field measurements","nwis_04142000"
"129","nwis_041482663",5.7912,"NWIS field measurements","nwis_041482663"
"130","nwis_04166500",12.66444,"NWIS field measurements","nwis_04166500"
"131","nwis_04176500",51.054,"NWIS field measurements","nwis_04176500"
"132","nwis_04195500",34.4424,"NWIS field measurements","nwis_04195500"
"133","nwis_04208000",56.8452,"NWIS field measurements","nwis_04208000"
"134","nwis_04213500",37.0332,"NWIS field measurements","nwis_04213500"
"135","nwis_04249000",74.0664,"NWIS field measurements","nwis_04249000"
"136","nwis_05057000",23.50008,"NWIS field measurements","nwis_05057000"
"137","nwis_05406457",5.1816,"NWIS field measurements","nwis_05406457"
"138","nwis_05406469",4.1148,"NWIS field measurements","nwis_05406469"
"139","nwis_05406479",7.83336,"NWIS field measurements","nwis_05406479"
"140","nwis_05406500",10.14984,"NWIS field measurements","nwis_05406500"
"141","nwis_05435943",5.9436,"NWIS field measurements","nwis_05435943"
"142","nwis_05435950",11.85672,"NWIS field measurements","nwis_05435950"
"143","nwis_05515500",22.43328,"NWIS field measurements","nwis_05515500"
"144","nwis_05579630",4.2672,"NWIS field measurements","nwis_05579630"
"145","nwis_05599490",51.2064,"NWIS field measurements","nwis_05599490"
"146","nwis_06893350",10.24128,"NWIS field measurements","nwis_06893350"
"147","nwis_06893620",2.54508,"NWIS field measurements","nwis_06893620"
"148","nwis_06893820",6.21792,"NWIS field measurements","nwis_06893820"
"149","nwis_06893890",7.9248,"NWIS field measurements","nwis_06893890"
"150","nwis_06893970",3.3528,"NWIS field measurements","nwis_06893970"
"151","nwis_06894000",9.81456,"NWIS field measurements","nwis_06894000"
"152","nwis_07048600",29.8704,"NWIS field measurements","nwis_07048600"
"153","nwis_07061270",20.2692,"NWIS field measurements","nwis_07061270"
"154","nwis_07061290",13.2588,"NWIS field measurements","nwis_07061290"
"155","nwis_07075250",14.1732,"NWIS field measurements","nwis_07075250"
"156","nwis_07075270",26.0604,"NWIS field measurements","nwis_07075270"
"157","nwis_07109500",34.8996,"NWIS field measurements","nwis_07109500"
"158","nwis_07143672",14.3256,"NWIS field measurements","nwis_07143672"
"159","nwis_07144100",17.3736,"NWIS field measurements","nwis_07144100"
"160","nwis_07164500",89.0016,"NWIS field measurements","nwis_07164500"
"161","nwis_07177500",32.3088,"NWIS field measurements","nwis_07177500"
"162","nwis_07178200",31.0896,"NWIS field measurements","nwis_07178200"
"163","nwis_071912213",25.6032,"NWIS field measurements","nwis_071912213"
"164","nwis_07191222",10.4394,"NWIS field measurements","nwis_07191222"
"165","nwis_07239450",13.4112,"NWIS field measurements","nwis_07239450"
"166","nwis_07241550",27.7368,"NWIS field measurements","nwis_07241550"
"167","nwis_07263296",21.12264,"NWIS field measurements","nwis_07263296"
"168","nwis_07332620",9.20496,"NWIS field measurements","nwis_07332620"
"169","nwis_07332622",13.67028,"NWIS field measurements","nwis_07332622"
"170","nwis_07374000",870.204,"NWIS field measurements","nwis_07374000"
"171","nwis_08049500",21.21408,"NWIS field measurements","nwis_08049500"
"172","nwis_08052700",3.3528,"NWIS field measurements","nwis_08052700"
"173","nwis_08052745",10.75944,"NWIS field measurements","nwis_08052745"
"174","nwis_08057410",58.3692,"NWIS field measurements","nwis_08057410"
"175","nwis_08062500",39.9288,"NWIS field measurements","nwis_08062500"
"176","nwis_08065350",73.7616,"NWIS field measurements","nwis_08065350"
"177","nwis_08068000",13.4874,"NWIS field measurements","nwis_08068000"
"178","nwis_08068500",16.94688,"NWIS field measurements","nwis_08068500"
"179","nwis_08070200",13.92936,"NWIS field measurements","nwis_08070200"
"180","nwis_08171290",22.2504,"NWIS field measurements","nwis_08171290"
"181","nwis_08180700",8.5344,"NWIS field measurements","nwis_08180700"
"182","nwis_08181500",12.6492,"NWIS field measurements","nwis_08181500"
"183","nwis_08181800",13.92936,"NWIS field measurements","nwis_08181800"
"184","nwis_08188060",17.86128,"NWIS field measurements","nwis_08188060"
"185","nwis_08211200",18.2118,"NWIS field measurements","nwis_08211200"
"186","nwis_08375300",56.0832,"NWIS field measurements","nwis_08375300"
"187","nwis_08412500",12.192,"NWIS field measurements","nwis_08412500"
"188","nwis_08437710",4.93776,"NWIS field measurements","nwis_08437710"
"189","nwis_08446500",9.15924,"NWIS field measurements","nwis_08446500"
"190","nwis_08447000",8.382,"NWIS field measurements","nwis_08447000"
"191","nwis_08447300",21.6408,"NWIS field measurements","nwis_08447300"
"192","nwis_09041400",8.5344,"NWIS field measurements","nwis_09041400"
"193","nwis_09406000",12.954,"NWIS field measurements","nwis_09406000"
"194","nwis_10129900",2.10312,"NWIS field measurements","nwis_10129900"
