"sitecode","width_src","usgs_gagename","width_m"
"nwis_02336313","NWIS field measurements","nwis_02336313",4.2672
"nwis_02336340","NWIS field measurements","nwis_02336340",6.73608
"nwis_02336360","NWIS field measurements","nwis_02336360",11.1252
"nwis_02336410","NWIS field measurements","nwis_02336410",7.1628
"nwis_02336526","NWIS field measurements","nwis_02336526",6.858
"nwis_02336728","NWIS field measurements","nwis_02336728",9.7536
"nwis_02337170","NWIS field measurements","nwis_02337170",72.2376
"nwis_023432415","NWIS field measurements","nwis_023432415",120.396
"nwis_02344630","NWIS field measurements","nwis_02344630",7.9248
"nwis_02397530","NWIS field measurements","nwis_02397530",96.1644
"nwis_02492620","NWIS field measurements","nwis_02492620",58.0644
"nwis_03007800","NWIS field measurements","nwis_03007800",33.2232
"nwis_03025500","NWIS field measurements","nwis_03025500",174.0408
"nwis_03027500","NWIS field measurements","nwis_03027500",27.95016
"nwis_03034000","NWIS field measurements","nwis_03034000",30.14472
"nwis_03036000","NWIS field measurements","nwis_03036000",46.3296
"nwis_03058000","NWIS field measurements","nwis_03058000",27.24912
"nwis_03061000","NWIS field measurements","nwis_03061000",40.9956
"nwis_03067510","NWIS field measurements","nwis_03067510",26.8224
"nwis_03072655","NWIS field measurements","nwis_03072655",179.5272
"nwis_03073000","NWIS field measurements","nwis_03073000",22.92096
"nwis_03075070","NWIS field measurements","nwis_03075070",233.4768
"nwis_03081000","NWIS field measurements","nwis_03081000",98.1456
"nwis_03083500","NWIS field measurements","nwis_03083500",114.6048
"nwis_03098600","NWIS field measurements","nwis_03098600",39.0144
"nwis_03105500","NWIS field measurements","nwis_03105500",78.9432
"nwis_03106000","NWIS field measurements","nwis_03106000",40.5384
"nwis_03121850","NWIS field measurements","nwis_03121850",5.9436
"nwis_03183500","NWIS field measurements","nwis_03183500",99.3648
"nwis_03219500","NWIS field measurements","nwis_03219500",37.6428
"nwis_03228300","NWIS field measurements","nwis_03228300",14.0208
"nwis_03255349","NWIS field measurements","nwis_03255349",12.4968
"nwis_03259757","NWIS field measurements","nwis_03259757",4.7244
"nwis_03259813","NWIS field measurements","nwis_03259813",3.6576
"nwis_03289200","NWIS field measurements","nwis_03289200",13.04544
"nwis_03292470","NWIS field measurements","nwis_03292470",19.2024
"nwis_03292474","NWIS field measurements","nwis_03292474",5.7912
"nwis_03292475","NWIS field measurements","nwis_03292475",9.7536
"nwis_03292480","NWIS field measurements","nwis_03292480",5.76072
"nwis_03293000","NWIS field measurements","nwis_03293000",10.668
"nwis_03293500","NWIS field measurements","nwis_03293500",7.40664
"nwis_03293530","NWIS field measurements","nwis_03293530",5.05968
"nwis_03294570","NWIS field measurements","nwis_03294570",6.91896
"nwis_03297900","NWIS field measurements","nwis_03297900",18.288
"nwis_03298000","NWIS field measurements","nwis_03298000",17.81556
"nwis_03298135","NWIS field measurements","nwis_03298135",8.763
"nwis_03298150","NWIS field measurements","nwis_03298150",10.60704
"nwis_03298200","NWIS field measurements","nwis_03298200",16.9164
"nwis_03298250","NWIS field measurements","nwis_03298250",8.8392
"nwis_03298300","NWIS field measurements","nwis_03298300",8.56488
"nwis_03301900","NWIS field measurements","nwis_03301900",4.572
"nwis_03301940","NWIS field measurements","nwis_03301940",5.50164
"nwis_03302000","NWIS field measurements","nwis_03302000",12.99972
"nwis_03302030","NWIS field measurements","nwis_03302030",11.07948
"nwis_03302050","NWIS field measurements","nwis_03302050",3.79476
"nwis_03321500","NWIS field measurements","nwis_03321500",139.5984
"nwis_03339000","NWIS field measurements","nwis_03339000",48.768
"nwis_03346500","NWIS field measurements","nwis_03346500",48.6156
"nwis_03353200","NWIS field measurements","nwis_03353200",18.8976
"nwis_03353420","NWIS field measurements","nwis_03353420",3.9624
"nwis_03374100","NWIS field measurements","nwis_03374100",133.8072
"nwis_03408500","NWIS field measurements","nwis_03408500",28.0416
"nwis_03409500","NWIS field measurements","nwis_03409500",30.9372
"nwis_03430200","NWIS field measurements","nwis_03430200",47.0916
"nwis_03460795","NWIS field measurements","nwis_03460795",38.862
"nwis_03512000","NWIS field measurements","nwis_03512000",40.8432
"nwis_03538830","NWIS field measurements","nwis_03538830",25.2984
"nwis_03539600","NWIS field measurements","nwis_03539600",26.8224
"nwis_03539778","NWIS field measurements","nwis_03539778",9.9822
"nwis_03597860","NWIS field measurements","nwis_03597860",16.764
"nwis_04024000","NWIS field measurements","nwis_04024000",127.1016
"nwis_04027000","NWIS field measurements","nwis_04027000",41.4528
"nwis_04040000","NWIS field measurements","nwis_04040000",27.1272
"nwis_04059500","NWIS field measurements","nwis_04059500",28.3464
"nwis_04067500","NWIS field measurements","nwis_04067500",117.348
"nwis_04085108","NWIS field measurements","nwis_04085108",4.75488
"nwis_040851385","NWIS field measurements","nwis_040851385",168.5544
"nwis_04087050","NWIS field measurements","nwis_04087050",3.85572
"nwis_04087119","NWIS field measurements","nwis_04087119",5.24256
"nwis_040871488","NWIS field measurements","nwis_040871488",1.6764
"nwis_04095090","NWIS field measurements","nwis_04095090",32.9184
"nwis_04101500","NWIS field measurements","nwis_04101500",76.5048
"nwis_04108660","NWIS field measurements","nwis_04108660",63.0936
"nwis_04119400","NWIS field measurements","nwis_04119400",156.6672
"nwis_04121944","NWIS field measurements","nwis_04121944",25.6032
"nwis_04121970","NWIS field measurements","nwis_04121970",56.388
"nwis_04124000","NWIS field measurements","nwis_04124000",37.7952
"nwis_04124200","NWIS field measurements","nwis_04124200",39.1668
"nwis_04125460","NWIS field measurements","nwis_04125460",17.9832
"nwis_04125550","NWIS field measurements","nwis_04125550",70.7136
"nwis_04136000","NWIS field measurements","nwis_04136000",27.85872
"nwis_04136500","NWIS field measurements","nwis_04136500",35.052
"nwis_04136900","NWIS field measurements","nwis_04136900",40.386
"nwis_04137005","NWIS field measurements","nwis_04137005",43.2816
"nwis_04137500","NWIS field measurements","nwis_04137500",52.4256
"nwis_04142000","NWIS field measurements","nwis_04142000",21.1836
"nwis_041482663","NWIS field measurements","nwis_041482663",5.7912
"nwis_04157005","NWIS field measurements","nwis_04157005",144.1704
"nwis_04165500","NWIS field measurements","nwis_04165500",38.862
"nwis_04166500","NWIS field measurements","nwis_04166500",12.66444
"nwis_04167150","NWIS field measurements","nwis_04167150",11.5824
"nwis_04168400","NWIS field measurements","nwis_04168400",13.1064
"nwis_04174500","NWIS field measurements","nwis_04174500",36.576
"nwis_04176500","NWIS field measurements","nwis_04176500",51.054
"nwis_04188496","NWIS field measurements","nwis_04188496",8.9916
"nwis_04195500","NWIS field measurements","nwis_04195500",34.4424
"nwis_04199500","NWIS field measurements","nwis_04199500",27.432
"nwis_04200500","NWIS field measurements","nwis_04200500",31.0896
"nwis_04208000","NWIS field measurements","nwis_04208000",56.8452
"nwis_04213152","NWIS field measurements","nwis_04213152",11.61288
"nwis_04213500","NWIS field measurements","nwis_04213500",37.0332
"nwis_04231600","NWIS field measurements","nwis_04231600",114.6048
"nwis_04249000","NWIS field measurements","nwis_04249000",74.0664
"nwis_05054000","NWIS field measurements","nwis_05054000",47.244
"nwis_05057000","NWIS field measurements","nwis_05057000",23.50008
"nwis_05057200","NWIS field measurements","nwis_05057200",7.62
